GM12878,BACH1,Paired,https://www.encodeproject.org/files/ENCFF518TTP/@@download/ENCFF518TTP.bam,https://www.encodeproject.org/files/ENCFF866OLZ/@@download/ENCFF866OLZ.bed.gz
GM12878,ETV6,Paired,https://www.encodeproject.org/files/ENCFF425VPI/@@download/ENCFF425VPI.bam,https://www.encodeproject.org/files/ENCFF959JZX/@@download/ENCFF959JZX.bed.gz
GM12878,H3K27ac,Single,https://www.encodeproject.org/files/ENCFF097SQI/@@download/ENCFF097SQI.bam,https://www.encodeproject.org/files/ENCFF465WTH/@@download/ENCFF465WTH.bed.gz,
GM12878,H3K27ac,Single,https://www.encodeproject.org/files/ENCFF385RWJ/@@download/ENCFF385RWJ.bam,https://www.encodeproject.org/files/ENCFF849JNQ/@@download/ENCFF849JNQ.bed.gz,
GM12878,H3K27me3,Single,https://www.encodeproject.org/files/ENCFF014HHB/@@download/ENCFF014HHB.bam,https://www.encodeproject.org/files/ENCFF533IKU/@@download/ENCFF533IKU.bed.gz,
GM12878,H3K27me3,Single,https://www.encodeproject.org/files/ENCFF244BSW/@@download/ENCFF244BSW.bam,https://www.encodeproject.org/files/ENCFF973OTZ/@@download/ENCFF973OTZ.bed.gz,
GM12878,H3K27me3,Single,https://www.encodeproject.org/files/ENCFF809FFP/@@download/ENCFF809FFP.bam,https://www.encodeproject.org/files/ENCFF533IKU/@@download/ENCFF533IKU.bed.gz,
GM12878,H3K27me3,Single,https://www.encodeproject.org/files/ENCFF879MYE/@@download/ENCFF879MYE.bam,https://www.encodeproject.org/files/ENCFF973OTZ/@@download/ENCFF973OTZ.bed.gz,
GM12878,H3K36me3,Single,https://www.encodeproject.org/files/ENCFF191SDM/@@download/ENCFF191SDM.bam,https://www.encodeproject.org/files/ENCFF695NNX/@@download/ENCFF695NNX.bed.gz,
GM12878,H3K36me3,Single,https://www.encodeproject.org/files/ENCFF381BRW/@@download/ENCFF381BRW.bam,https://www.encodeproject.org/files/ENCFF986RLS/@@download/ENCFF986RLS.bed.gz,
GM12878,H3K36me3,Single,https://www.encodeproject.org/files/ENCFF642KPF/@@download/ENCFF642KPF.bam,https://www.encodeproject.org/files/ENCFF695NNX/@@download/ENCFF695NNX.bed.gz,
GM12878,H3K36me3,Single,https://www.encodeproject.org/files/ENCFF875TEC/@@download/ENCFF875TEC.bam,https://www.encodeproject.org/files/ENCFF986RLS/@@download/ENCFF986RLS.bed.gz,
GM12878,H3K4me1,Single,https://www.encodeproject.org/files/ENCFF252ZII/@@download/ENCFF252ZII.bam,https://www.encodeproject.org/files/ENCFF966LMJ/@@download/ENCFF966LMJ.bed.gz,
GM12878,H3K4me1,Single,https://www.encodeproject.org/files/ENCFF677IFV/@@download/ENCFF677IFV.bam,https://www.encodeproject.org/files/ENCFF317ATF/@@download/ENCFF317ATF.bed.gz,
GM12878,H3K4me2,Single,https://www.encodeproject.org/files/ENCFF384FAF/@@download/ENCFF384FAF.bam,https://www.encodeproject.org/files/ENCFF929USO/@@download/ENCFF929USO.bed.gz,
GM12878,H3K4me2,Single,https://www.encodeproject.org/files/ENCFF636KDX/@@download/ENCFF636KDX.bam,https://www.encodeproject.org/files/ENCFF844ORN/@@download/ENCFF844ORN.bed.gz,
GM12878,H3K4me3,Single,https://www.encodeproject.org/files/ENCFF398NET/@@download/ENCFF398NET.bam,https://www.encodeproject.org/files/ENCFF068UAA/@@download/ENCFF068UAA.bed.gz,
GM12878,H3K4me3,Single,https://www.encodeproject.org/files/ENCFF478HXG/@@download/ENCFF478HXG.bam,https://www.encodeproject.org/files/ENCFF368BLZ/@@download/ENCFF368BLZ.bed.gz,
GM12878,H3K4me3,Single,https://www.encodeproject.org/files/ENCFF520LYT/@@download/ENCFF520LYT.bam,https://www.encodeproject.org/files/ENCFF368BLZ/@@download/ENCFF368BLZ.bed.gz,
GM12878,H3K4me3,Single,https://www.encodeproject.org/files/ENCFF576LOX/@@download/ENCFF576LOX.bam,https://www.encodeproject.org/files/ENCFF068UAA/@@download/ENCFF068UAA.bed.gz,
GM12878,H3K4me3,Single,https://www.encodeproject.org/files/ENCFF631UXF/@@download/ENCFF631UXF.bam,https://www.encodeproject.org/files/ENCFF068UAA/@@download/ENCFF068UAA.bed.gz,
GM12878,H3K4me3,Single,https://www.encodeproject.org/files/ENCFF651KIN/@@download/ENCFF651KIN.bam,https://www.encodeproject.org/files/ENCFF368BLZ/@@download/ENCFF368BLZ.bed.gz,
GM12878,H3K79me2,Single,https://www.encodeproject.org/files/ENCFF270WQA/@@download/ENCFF270WQA.bam,https://www.encodeproject.org/files/ENCFF775DRF/@@download/ENCFF775DRF.bed.gz,
GM12878,H3K79me2,Single,https://www.encodeproject.org/files/ENCFF691PCD/@@download/ENCFF691PCD.bam,https://www.encodeproject.org/files/ENCFF512HIC/@@download/ENCFF512HIC.bed.gz,
GM12878,H3K9ac,Single,https://www.encodeproject.org/files/ENCFF456WNJ/@@download/ENCFF456WNJ.bam,https://www.encodeproject.org/files/ENCFF601QJM/@@download/ENCFF601QJM.bed.gz,
GM12878,H3K9ac,Single,https://www.encodeproject.org/files/ENCFF863OXT/@@download/ENCFF863OXT.bam,https://www.encodeproject.org/files/ENCFF102TOY/@@download/ENCFF102TOY.bed.gz,
GM12878,RELB,Paired,https://www.encodeproject.org/files/ENCFF708KIW/@@download/ENCFF708KIW.bam,https://www.encodeproject.org/files/ENCFF355VTC/@@download/ENCFF355VTC.bed.gz
GM12878,SRF,Paired,https://www.encodeproject.org/files/ENCFF387RFR/@@download/ENCFF387RFR.bam,https://www.encodeproject.org/files/ENCFF500GHH/@@download/ENCFF500GHH.bed.gz
GM12878,TARDBP,Paired,https://www.encodeproject.org/files/ENCFF673WUM/@@download/ENCFF673WUM.bam,https://www.encodeproject.org/files/ENCFF016QUV/@@download/ENCFF016QUV.bed.gz
GM12878,ZNF24,Paired,https://www.encodeproject.org/files/ENCFF699QHD/@@download/ENCFF699QHD.bam,https://www.encodeproject.org/files/ENCFF882PND/@@download/ENCFF882PND.bed.gz
K562,CC2D1A,Paired,https://www.encodeproject.org/files/ENCFF054TBR/@@download/ENCFF054TBR.bam,https://www.encodeproject.org/files/ENCFF051PEB/@@download/ENCFF051PEB.bed.gz
K562,DNMT1,Paired,https://www.encodeproject.org/files/ENCFF987HMB/@@download/ENCFF987HMB.bam,https://www.encodeproject.org/files/ENCFF958LLL/@@download/ENCFF958LLL.bed.gz
K562,GMEB1,Paired,https://www.encodeproject.org/files/ENCFF809QWF/@@download/ENCFF809QWF.bam,https://www.encodeproject.org/files/ENCFF154QJU/@@download/ENCFF154QJU.bed.gz
K562,POLR2B,Paired,https://www.encodeproject.org/files/ENCFF454PCU/@@download/ENCFF454PCU.bam,https://www.encodeproject.org/files/ENCFF729LTY/@@download/ENCFF729LTY.bed.gz
K562,PYGO2,Paired,https://www.encodeproject.org/files/ENCFF288JVH/@@download/ENCFF288JVH.bam,https://www.encodeproject.org/files/ENCFF078LXS/@@download/ENCFF078LXS.bed.gz
K562,ZBTB2,Paired,https://www.encodeproject.org/files/ENCFF294LPO/@@download/ENCFF294LPO.bam,https://www.encodeproject.org/files/ENCFF551YGS/@@download/ENCFF551YGS.bed.gz
